hub;cluster;keyword;frequency;relevance
H1;К1;норма алкоголя в багаже;177;частично
H1;К1;какая норма алкоголя за рулем;175;частично
H1;К1;разрешенная норма алкоголя;172;полностью
H1;К1;нормы алкоголя для мужчин;159;полностью
H1;К1;безопасное употребление алкоголя;153;полностью
H1;К1;сколько допустимая норма алкоголя;153;полностью
H1;К1;какая допустимая норма алкоголя за рулем;136;частично
H1;К1;норма алкоголя в неделю;133;полностью
H1;К1;норма алкоголя в крови россия;130;частично
H1;К1;сколько норма алкоголя за рулем;122;частично
H1;К1;норма алкоголя в самолете;112;частично
H1;К1;допустимая норма алкоголя в крови для водителей;109;частично
H1;К1;норма алкоголя в моче;108;частично
H1;К1;норма алкоголя в россии в год;106;полностью
H1;К1;сколько алкоголя безопасно;105;полностью
H1;К1;нормы алкоголя тайланд;101;частично
H1;К1;норма алкоголя в месяц;98;полностью
H1;К1;норма алкоголя рф;93;полностью
H1;К1;норма алкоголя в организме;91;полностью
H1;К1;норма алкоголя в крови водителя в россии;89;частично
H1;К1;норма алкоголя в выдыхаемом воздухе водителя 2026;88;частично
H1;К1;сколько допустимая норма алкоголя за рулем;84;частично
H1;К1;допустимая норма алкоголя в крови в россии;84;частично
H1;К1;норма алкоголя для водителя в россии;84;частично
H1;К1;разрешенная норма алкоголя за рулем;81;частично
H1;К1;норма алкоголя для женщин;79;полностью
H1;К1;допустимая норма алкоголя в день;73;полностью
H1;К1;таблица нормы алкоголя;73;полностью
H1;К1;норма алкоголя на работе;72;полностью
H1;К1;норма алкоголя для человека в день;70;полностью
H1;К1;как пить алкоголь без вреда;68;полностью
H1;К1;нормы алкоголя в турции;64;частично
H1;К1;норма алкоголя в алкотестере;62;частично
H1;К1;предельная норма алкоголя;60;полностью
H1;К1;безопасные нормы алкоголя;58;полностью
H1;К1;норма алкоголя в крови за рулем;55;частично
H1;К1;норма алкоголя дьюти фри;54;частично
H1;К1;какая норма алкоголя в россии;53;полностью
H1;К1;какая норма алкоголя разрешается;52;полностью
H1;К4;алкогольное опьянение;94826;полностью
H1;К4;состояние алкогольного опьянения;43905;полностью
H1;К4;алкогольный синдром;15442;полностью
H1;К4;признаки алкогольного опьянения;2671;полностью
H1;К4;норма промилле алкоголя;2583;полностью
H1;К4;степени алкогольного опьянения;2471;полностью
H1;К4;допустимая норма промилле алкоголя;2106;полностью
H1;К4;норма промилле алкоголя за рулем;2016;частично
H1;К4;допустимая норма алкоголя за рулем в промилле;1921;частично
H1;К4;стадии алкогольного опьянения;552;полностью
H1;К4;допустимая норма промилле 2025 алкоголя;264;полностью
H1;К4;нормы промилле алкоголя в россии;257;полностью
H1;К4;калькулятор алкогольного опьянения;226;полностью
H1;К4;какая норма промилле алкоголя;164;полностью
H1;К4;нормы промилле алкоголя в россии 2025;148;полностью
H1;К4;сколько норма промилле алкоголя;146;полностью
H1;К4;какая допустимая норма промилле алкоголя;99;полностью
H1;К4;норма промилле алкоголя для водителей;78;частично
H1;К4;разрешенная норма промилле алкоголя;78;полностью
H1;К4;норма промилле алкоголя в крови;76;полностью
H1;К4;сколько допустимая норма промилле алкоголя;72;полностью
H1;К4;нормы промилле алкоголя в выдыхаемом;63;частично
H1;К4;нормы промилле алкоголя в выдыхаемом воздухе;63;частично
H1;К4;сколько допустимая норма промилле алкоголя за рулем;56;частично
H1;К8;алкоголь и печень;4506;частично
H1;К8;алкоголь и давление;2778;частично
H1;К8;влияние алкоголя на организм человека;1785;полностью
H1;К8;как влияет алкоголь на время реакции водителя;1217;частично
H1;К8;алкоголь и сон;1179;полностью
H1;К8;вред алкоголя для здоровья;947;полностью
H1;К8;алкогольная депрессия;723;частично
H2;К5;как меньше пить;3806;полностью
H2;К5;как не пить алкоголь;2907;полностью
H2;К5;ограничить алкоголь;1756;полностью
H2;К5;культура пития;956;полностью
H2;К5;культура питья;956;полностью
H2;К5;правильное употребление алкоголя;882;полностью
H2;К5;как научиться пить;831;полностью
H2;К5;как пить и не пьянеть;806;полностью
H2;К5;умеренное употребление алкоголя;478;полностью
H2;К5;накатильня культура пития;321;частично
H2;К5;накатильня культура пития ул станиславского;283;частично
H2;К5;накатильня культура пития ул станиславского 118 25;283;частично
H2;К5;культура употребления алкоголя;208;полностью
H2;К5;безопасное употребление алкоголя;153;полностью
H2;К5;как контролировать алкоголь;148;полностью
H2;К5;как пить меньше алкоголя;132;полностью
H2;К5;как меньше пить алкоголя;132;полностью
H2;К5;как пить и не напиваться;111;полностью
H2;К5;культура питья ростов;109;полностью
H2;К5;накатильня культура пития ростов на дону;107;частично
H2;К5;накатильня культура пития меню;92;частично
H2;К5;контролируемое употребление алкоголя;90;полностью
H2;К5;как пить умеренно;67;полностью
H2;К5;культура пития спиртных;50;полностью
H2;К6;пил пиво каждый день;6392;частично
H2;К6;пью пиво каждый день;6343;частично
H2;К6;снова я напиваюсь;4431;частично
H2;К6;если пить пиво каждый день;3135;частично
H2;К6;пить надо меньше;2497;полностью
H2;К6;много пью алкоголя;2492;частично
H2;К6;пью каждый день что делать;1859;полностью
H2;К6;толерантность к алкоголю;1638;полностью
H2;К6;не могу остановиться пить;785;частично
H2;К6;почему не пьянею от алкоголя;719;частично
H2;К6;всегда напиваюсь;529;частично
H2;К6;как перестать пить каждый день;482;полностью
H2;К6;как не пить каждый день;429;полностью
H2;К6;выпиваю каждую пятницу;418;частично
H2;К6;год пил пиво каждый день;413;частично
H2;К6;мужчина пил пиво каждый день;278;частично
H2;К6;пил пиво каждый день форум;176;частично
H2;К6;алкоголь каждый день что делать;174;полностью
H2;К6;пью пиво каждый день форум;170;частично
H2;К6;пил пиво каждый день отзывы;159;частично
H2;К6;пью пиво каждый день отзывы;156;частично
H2;К6;не могу остановиться когда пью;109;частично
H2;К6;много пью пиво каждый день;109;частично
H2;К6;пью пиво каждый день девушка;77;частично
H2;К6;перестать пить каждый вечер;62;полностью
H2;К6;пил пиво каждый день последствия;52;частично
H2;К6;пью пиво каждый день последствия;52;частично
H2;К9;как не напиться;2375;полностью
H2;К9;как не напиваться;2363;полностью
H2;К9;алкоголь в праздники;1928;полностью
H2;К9;алкоголь и друзья;1481;полностью
H2;К9;алкоголь и компания;532;полностью
H2;К9;как не напиться на празднике;53;полностью
H2;К12;алкоголь и работа;2443;полностью
H3;К3;спиртное;179943;частично
H3;К3;алкоголь это;74088;частично
H3;К3;спиртные напитки;56964;частично
H3;К3;влияние алкоголя;22558;полностью
H3;К3;что такое алкоголь;14444;частично
H3;К3;влияние алкоголя на человека;5874;полностью
H3;К3;почему люди пьют алкоголь;1840;полностью
H3;К3;виды алкогольных напитков;1536;частично
H3;К3;причины употребления алкоголя;1418;полностью
H3;К3;статистика употребления алкоголя;649;частично
H3;К3;кто употребляет алкоголь;461;частично
H3;К7;стрессор;5334;частично
H3;К7;как избавиться от стресса;4197;частично
H3;К7;почему хочется алкоголя;3566;полностью
H3;К7;как успокоиться в стрессовой ситуации;3367;частично
H3;К7;пью от стресса;3307;полностью
H3;К7;почему хочется пива;1818;полностью
H3;К7;почему хочется выпить;1494;полностью
H3;К7;как быстро успокоиться в стрессовой ситуации;1317;частично
H3;К7;стресс и алкоголь;1255;полностью
H3;К7;алкоголь и стресс;1248;полностью
H3;К7;что пить от стресса;1226;частично
H3;К7;алкоголь и тревога;655;полностью
H3;К7;что пить от нервов и стресса;526;частично
H3;К7;алкоголь снять стресс;354;полностью
H3;К7;почему хочется выпить алкоголь;290;полностью
H3;К7;что можно пить от стресса;209;частично
H3;К7;что пить от стресса и нервов женщине;168;частично
H3;К7;какие витамины пить от стресса;151;частично
H3;К7;алкоголь чтобы расслабиться;140;полностью
H3;К7;что пить от стресса и тревоги;133;частично
H3;К7;алкоголь и стресс влияние;126;полностью
H3;К7;что можно пить от стресса и нервов;121;частично
H3;К7;почему вечером хочется выпить;95;полностью
H3;К7;алкоголь помогает расслабиться;89;полностью
H3;К7;что пить от нервов и стресса мужчине;79;частично
H3;К7;почему хочется выпить пиво;68;полностью
H3;К10;алкоголь и женщины;3218;частично
H3;К10;алкоголь и отношения;1305;частично
H3;К10;алкоголь и семья;1239;частично
H3;К10;алкоголь и конфликт;261;частично
H3;К12;алкоголь и работоспособность;138;полностью
H4;К2;признаки алкоголизма;5784;частично
H4;К2;как не спиться;653;полностью
H4;К2;держусь не пью;565;частично
H4;К2;тест AUDIT;527;частично
H4;К2;тест на алкогольную зависимость;421;частично
H4;К2;признаки алкогольной зависимости;416;частично
H4;К2;тест CAGE;174;частично
H4;К2;алкоголизм это болезнь или нет;97;частично
H4;К2;как не стать алкоголиком;78;полностью
H4;К11;алкогольная интоксикация;25410;частично
H4;К11;что помогает от похмелья;8101;частично
H4;К11;сильное похмелье;6716;частично
H4;К11;выведение алкоголя из организма;6110;полностью
H4;К11;похмельный синдром;5568;частично
H4;К11;тошнит после алкоголя;5314;частично
H4;К11;как быстро избавиться от похмелья;3749;частично
H4;К11;как снять похмелье;3459;частично
H4;К11;что будет если бросить пить;3146;частично
H4;К11;без похмелья;2890;частично
H4;К11;как облегчить похмелье;2288;частично
H4;К11;что делать при похмелье;2279;частично
H4;К11;тошнит после алкоголя что делать;2075;частично
H4;К11;как быстро снять похмелье;1825;частично
H4;К11;похмелье симптомы;1676;частично
H4;К11;что такое похмелье;1221;полностью
H4;К11;что делать если тошнит после алкоголя;1003;частично
H4;К11;как снять похмелье в домашних;999;частично
H4;К11;почему сильное похмелье;838;полностью
H4;К11;как снять похмелье в домашних условиях;832;частично
H4;К11;как эффективно снять похмелье;825;частично
H4;К11;как эффективно снять похмелье быстро;822;частично
H4;К11;почему плохо после алкоголя;806;полностью
H4;К11;после сильного похмелья;798;частично
H4;К11;как избавиться от похмелья в домашних быстро;760;частично
H4;К11;слабость после алкоголя;749;полностью
H4;К11;как снять похмелье быстро в домашних;706;частично
H4;К11;как избавиться от похмелья быстро и эффективно;691;частично
H4;К11;похмелье на работе;655;частично
H4;К11;как быстро снять похмелье в домашних условиях;587;частично
H4;К11;как снять похмельный синдром;550;частично
H4;К11;алкогольная амнезия;536;полностью
H4;К11;очень сильное похмелье;513;частично
H4;К11;как быстро избавиться от перегара похмельного;506;частично
H4;К11;что делать при сильном похмелье;416;частично
H4;К11;как снять похмелье дома;408;частично
H4;К11;как облегчить похмелье в домашних;401;частично
H4;К11;как быстро снять похмелье дома;389;частично
H4;К11;похмелье как облегчить свое состояние;381;частично
H4;К11;как снять похмелье быстро и эффективно дома;362;частично
H4;К11;как быстро избавиться от похмельного синдрома;336;частично
H4;К11;как облегчить похмелье на утро;328;частично
H4;К11;что делать при похмелье чтоб;325;частично
H4;К11;что делать при похмелье чтоб быстрее;316;частично
H4;К11;как быстро избавиться от похмелья дома;311;частично
H4;К11;что делать при похмелье чтоб быстрее прошло;305;частично
H4;К11;сильнейшее похмелье после запоя;303;частично
H4;К11;как снять отеки с похмелья;294;частично
H4;К11;как снять отеки с лица с похмелья;263;частично
H4;К11;как пережить похмелье;253;частично
H4;К11;как облегчить похмелье после запоя;245;частично
H4;К11;провалы памяти после алкоголя;244;полностью
H4;К11;сильно болит голова с похмелья;229;частично
H4;К11;похмельный синдром лечение;215;частично
H4;К11;сильно болеет с похмелья;213;частично
H4;К11;чем снять похмельный синдром;205;частично
H4;К11;как избавиться от похмельного состояния;185;частично
H4;К11;что помогает от сильного похмелья;175;частично
H4;К11;симптомы похмелья у женщин;174;частично
H4;К11;очень сильное похмелье что делать;173;частично
H4;К11;как избавиться от сильного похмелья;166;частично
H4;К11;как облегчить похмелье на утро после пьянки;163;частично
H4;К11;как убрать похмельный синдром;161;частично
H4;К11;как облегчить похмелье после запоя без капельницы;160;частично
H4;К11;похмелье сильно тошнит;159;частично
H4;К11;как ускорить выведение алкоголя из организма;158;полностью
H4;К11;человек с сильного похмелья;158;частично
H4;К11;похмельный синдром быстрое избавление;153;частично
H4;К11;как снять похмелье в дом условиях;146;частично
H4;К11;похмелье как облегчить свое состояние в домашних;142;частично
H4;К11;как облегчить похмелье в домашних условиях;142;частично
H4;К11;как снять похмелье быстро отек;138;частично
H4;К11;голова при похмелье что делать;137;частично
H4;К11;как лучше снять похмелье;127;частично
H4;К11;сильно потею с похмелья;127;частично
H4;К11;что делать после сильного похмелья;123;частично
H4;К11;с похмелья сильно бьется;119;частично
H4;К11;симптомы похмелья у мужчин;117;частично
H4;К11;симптомы после похмелья;115;частично
H4;К11;как облегчить похмельный синдром;112;частично
H4;К11;почему очень сильное похмелье;104;частично
H4;К11;сколько длится похмельный синдром;98;частично
H4;К11;болит голова при похмелье что делать;96;частично
H4;К11;средства помогающие от похмелья;96;частично
H4;К11;как снять сильное похмелье;96;частично
H4;К11;почему сильно болеешь с похмелья;96;полностью
H4;К11;похмелье симптомы и признаки;95;частично
H4;К11;как снять синдром похмелья;91;частично
H4;К11;почему с похмелья сильно потеешь;91;частично
H4;К11;что выпить при сильном похмелье;88;частично
H4;К11;что принять при сильном похмелье;88;частично
H4;К11;сильное похмелье форум;87;частично
H4;К11;как снять симптомы похмелья;86;частично
H4;К11;похмельный синдром лечение на дому быстро;81;частично
H4;К11;что пить при сильном похмелье;81;частично
H4;К11;сильно плохо с похмелья;80;частично
H4;К11;похмелье сильно болит голова что делать;80;частично
H4;К11;сильное похмелье рвота;79;частично
H4;К11;что делать при похмелье когда тошнит;77;частично
H4;К11;давление при похмелье что делать;75;частично
H4;К11;сильно трясти с похмелья;75;частично
H4;К11;как снять головную боль с похмелья;73;частично
H4;К11;как снять похмелье после запоя;71;частично
H4;К11;что пить при похмельном состоянии;68;частично
H4;К11;с похмелья сильно болит голова как помочь;68;частично
H4;К11;средства избавиться от похмелья;65;частично
H4;К11;как утром быстро избавиться от похмелья;64;частично
H4;К11;очень сильно болит голова похмелье;64;частично
H4;К11;сильное похмелье рвет;63;частично
H4;К11;как быстро избавиться от сильного похмелья;62;частично
H4;К11;как быстро снять похмелье и убрать;60;частично
H4;К11;что можно от сильного похмелья;60;частично
H4;К11;как быстро снять похмелье и тряску;59;частично
H4;К11;похмелье сильное сердцебиение;59;частично
H4;К11;как убрать симптомы похмелья;59;частично
H4;К11;похмелье очень сильно плохо;57;частично
H4;К11;сильное похмелье от пива;56;частично
H4;К11;человек сильно болеет с похмелья;56;частично
H4;К11;самое сильное похмелье;55;частично
H4;К11;стало сильное похмелье;54;частично
H4;К11;что делать при похмелье в домашних;53;частично
H4;К11;что делать при сильном похмелье тошнит;52;частично
H4;К11;какое средство помогает от похмелья;52;частично
H4;К11;сильная головная боль с похмелья;52;частично
H4;К11;что поможет после сильного похмелья;51;частично
H4;К11;что выпить после сильного похмелья;51;частично
H4;К11;как отойти от сильного похмелья;51;частично
H4;К11;что делать при сильном похмелье трясет;50;частично
H4;К2;алкогольная зависимость;33661;частично
H4;К2;женский алкоголизм;5091;частично
H4;К2;пивной алкоголизм;2722;частично
H4;К2;чем отличается алкоголик от пьяницы;888;частично
H4;К11;почему тяжелое похмелье;250;частично
